"name","description","url"
"Addressing History","Scottish Post Office directories and contemporary maps. The execution of this project is excellent.","http://addressinghistory.edina.ac.uk/"
"AfricaMap","Part of the Harvard World Map project.","http://africamap.harvard.edu/"
"Animated Atlas of African History","Flash-based map of Africa, available on the web as downloadable executables for Mac and Windows.","http://www.brown.edu/Research/AAAH/index.htm"
"Atlantic Networks Project","Maps and data relating to trans-atlantic shipping, including the slave trade.","https://sites.google.com/site/atlanticnetworksproject/"
"Atlas Cartografia Histórica","Mapping the historic local administrations of Portugal, in Portuguese and English.","http://atlas.fcsh.unl.pt/cartoweb35/atlas.php?lang=en"
"Atlas das Paisagens Literárias de Portugal Continental","Atlas of Literary Landscapes of Portugal, in Portuguese but with an english summary.","http://paisagensliterarias.ielt.org/"
"Atlas of Early Printing","Printing in Europe, circa 1450 to 1500.","http://atlas.lib.uiowa.edu/"
"Batanes Islands Cultural Atlas","A Cultural Atlas that includes maps, a timeline, and images of Batanes, the northern most province of the Philippines.","http://ecai.org/batanesatlas/index.html"
"Beijing in Transition","A Historical GIS Study of Urban Cultures, 1912-1937. In Chinese and English.","http://www.iseis.cuhk.edu.hk/history/beijing/index.htm"
"Belgisch HISGIS","Geo-historical statistics, 1800-1963/2003.","http://www.hisgis.be/"
"Beyond Steel","Industry and Society in 19th and 20th century LeHigh County, Pennsylvania.","http://digital.lib.lehigh.edu/beyondsteel/"
"Bombsight","Bomb Sight is mapping the WW2 bomb census in London using web and mobile mapping technology.","http://bombsight.org/"
"Caribbean Cholera Map","Very interesting medical history map and timeline from Duke University's Haiti Project.","http://www.caribbeancholera.org/"
"CHALICE","Under development. Creating a historic placename gazetteer for the U.K.","http://chalice.blogs.edina.ac.uk/"
"Charles Booth Online Archive","Archive of the Victorian social investigator, including his famed poverty maps of London.","http://booth.lse.ac.uk/"
"China Historical GIS","Covering Chinese history between 221 BCE and 1911 CE.","http://www.fas.harvard.edu/~chgis/"
"Chinese Civilization in Time and Space","Ambitious project that appears dormant, without having produced any maps.","http://ccts.ascc.net/index.php?lang=en"
"City Witness","This project will create an on-line interactive map of Swansea c. 1300, showing its principal topographical and landscape features, alongside an electronic edition of the fourteenth-century witness testimonies describing the hanging in Swansea of the Welshman, William Cragh, by the lord of Gower. This will provide multiple vantage points on the town and the significations attached to locations within the town by different social and ethnic groups (including Anglo-Norman and Welsh, lay and religious, male and female, lord, burgher, outlaw).","http://www.medievalswansea.ac.uk/"
"Cleveland Historical","The only mobile phone app produced by academics that I've found, now with an improved supporting website.","http://clevelandhistorical.org/"
"Colonial Dispatches","Digitizations of maps, many with added placename information, as part of a large archive on Vancouver Island and British Columbia.","http://bcgenesis.uvic.ca/"
"Cultural Atlas of Australia","An interactive digital map that explores Australian places and spaces as they are represented in and through films, novels, and plays.","http://australian-cultural-atlas.info/CAA/"
"Danish Folklore","Bilingual (English / Danish) project mapping Danish folklore and Kristensen's investigations of it.","http://projects.cdh.ucla.edu/danishfolklore/bin/index.html"
"Danske Herregaarde","Map of Danish Manors, in Danish.","http://www.danskeherregaarde.dk/"
"Decima","The Digitally Encoded Census Information and Mapping Archive, Decima studies Florence under the rule of Duke Cosimo I (1519-1574).","http://decima.chass.utoronto.ca/"
"Dictionary of Sydney","Important and ambitious attempt to annotate Sydney.","http://www.dictionaryofsydney.org/"
"Digital Atlas of Indonesian History","Accompanying, and expanding upon, Robert Cribb's Historical Atlas of Indonesia (NIAS Press, 2000;","http://www.indonesianhistory.info/"
"Digital Atlas of Roman and Medieval Civilization","Comprehensive coverage of early Eurasian civilizations.","http://darmc.harvard.edu/icb/icb.do?keyword=k40248&amp;pageid=icb.page188865"
"Digital Atlas on the History of Europe since 1500","Bilingual (English / German) site, under construction but with many interesting static maps.","http://www.atlas-europa.de/"
"Digital Augustan Rome","Beautiful as well as informative mapping of Ancient Rome.","http://digitalaugustanrome.org/"
"Digital Gazetteer of the Song Dynasty","Very impressive project on the (re)organizations of China during the Song epoch.","http://songgis.ucmercedlibrary.info/"
"Digital Harlem","Very fine website focusing on Afro-Americans in inter-war Harlem, New York. Putting Harlem on the map.",""
"Digital Karnak","Interesting site mapping -- in 2 and 3 dimensions -- the Temple complex at Karnak, Egypt.","http://dlib.etc.ucla.edu/projects/Karnak/"
"Digital Literary Atlas of Ireland, 1922-1949","Back from the dead","http://www.tcd.ie/trinitylongroomhub/digital-atlas/"
"Dislocating Ulysses","Visualizing Joyce's Dublin text in 3D. Two URLS:","http://dislocatingulysses.wordpress.com/"
"Driving Through Time","The landscape of the Blue Ridge Parkway, USA, a 469 mile &#8216;elongated park.'","http://docsouth.unc.edu/blueridgeparkway/"
"Down Survey of Ireland","Taken in the years 1656-1658, the Down Survey of Ireland is the first ever detailed land survey on a national scale anywhere in the world. The survey sought to measure all the land to be forfeited by the Catholic Irish in order to facilitate its redistribution to Merchant Adventurers and English soldiers. Copies of these maps have survived in dozens of libraries and archives throughout Ireland and Britain, as well as in the National Library of France. This Project has brought together for the first time in over 300 years all the surviving maps, digitised them and made them available as a public online resource.","http://downsurvey.tcd.ie/index.html"
"Edmonton Pipelines","Very interesting collection of projects centered on Edmonton, Canada.","http://edmontonpipelines.org/"
